"pitch","midi","channel","on_tick","off_tick"
"fis''",78,1,33600,33792
"dis''",75,2,33792,33984
"fis''",78,1,33792,33984
"cis''",73,2,33984,34176
"e''",76,1,33984,34176
"e'",64,4,34176,34368
"gis'",68,3,34176,34368
"cis''",73,2,34176,34944
"e''",76,1,34176,34944
"gis'",68,4,34368,34560
"b'",71,3,34368,34560
"gis'",68,4,34560,34752
"b'",71,3,34560,34752
"fis'",66,4,34752,34944
"ais'",70,3,34752,34944
"fis'",66,4,34944,35328
"ais'",70,3,34944,35328
"cis''",73,2,34944,35136
"cis''",73,1,34944,35136
"e''",76,2,35136,35328
"gis''",80,1,35136,35328
"e''",76,2,35328,35520
"gis''",80,1,35328,35520
"b'",71,4,35520,35712
"dis''",75,3,35520,35712
"dis''",75,2,35520,35712
"fis''",78,1,35520,35712
"b'",71,4,35712,35904
"dis''",75,3,35712,36288
"dis''",75,2,35712,35904
"fis''",78,1,35712,36288
"ais'",70,4,35904,36096
"cis''",73,3,35904,36096
"gis'",68,4,36096,36288
"c''",72,3,36096,36480
"fis'",66,4,36288,36480
"e'",64,4,36480,36672
"gis'",68,3,36480,36672
"c''",72,2,36480,36672
"dis''",75,1,36480,36672
"dis'",63,4,36672,36864
"gis'",68,3,36672,36864
"dis''",75,2,36672,36864
"fis''",78,1,36672,36864
"cis'",61,4,36864,37248
"gis'",68,3,36864,37440
"dis''",75,2,36864,37056
"fis''",78,1,36864,37056
"cis''",73,2,37056,37248
"e''",76,1,37056,37248
"dis'",63,4,37248,37440
"e''",76,2,37248,37824
"gis''",80,1,37248,37824
"e'",64,4,37440,37632
"b'",71,3,37440,37632
"fis'",66,4,37632,37824
"cis''",73,3,37632,37824
"fis'",66,4,37824,38016
"cis''",73,3,37824,38016
"e''",76,2,37824,38016
"ais''",82,1,37824,38016
"fis'",66,4,38016,38208
"dis''",75,3,38016,38208
"fis''",78,2,38016,38208
"b''",83,1,38016,38208
"fis'",66,4,38208,38400
"e''",76,3,38208,38400
"gis''",80,2,38208,38400
"cis'''",85,1,38208,38400
"b",59,4,38400,38592
"e''",76,3,38400,38592
"gis''",80,2,38400,38592
"cis'''",85,1,38400,38592
"b",59,4,38592,38784
"dis''",75,3,38592,38784
"fis''",78,2,38592,38784
"b''",83,1,38592,38784
"b",59,4,38784,39936
"dis''",75,3,38784,39936
"fis''",78,2,38784,39936
"b''",83,1,38784,39936
"cis''",73,2,55296,55680
"b'",71,2,55680,55872
"dis''",75,2,55872,56640
"dis''",75,2,56640,56832
"dis''",75,2,56832,57216
"e''",76,2,57216,57408
"cis''",73,2,57408,58368
"ais'",70,2,58752,58944
"b'",71,2,58944,59136
"cis''",73,2,59136,59712
"fis''",78,2,59712,59904
"fis''",78,2,59904,60096
"dis''",75,2,60096,61056
"dis''",75,2,61248,61344
"e''",76,2,61344,61440
"fis''",78,2,61440,62208
"fis''",78,2,62208,62784
"fis''",78,2,62784,62976
"fis''",78,2,62976,63168
"e''",76,2,63168,63360
"gis'",68,2,63360,64128
"gis''",80,2,64320,64512
"fis''",78,2,64512,65088
"cis''",73,2,65088,65280
"fis''",78,2,65280,65856
"e''",76,2,65856,66048
"dis''",75,2,66048,67200
"cis'",61,4,67584,67968
"b",59,4,67968,68160
